pairs processed: 1160, usable labeled: 698 (monster=153, regular=545)
rob CASHCOW      gain= 4563.7 skip     t5=07-10 19:14 nD=- cov=- why=window outside tape
rob ilysm        gain= 2892.0 skip     t5=07-10 08:34 nD=- cov=- why=window outside tape
rob ROBINHOOD    gain=  105.8 skip     t5=07-10 09:12 nD=- cov=- why=window outside tape
sol 公牛           gain=  105.7 monster  t5=07-06 13:03 nD=0 cov=- why=
sol frog         gain=  105.5 monster  t5=07-05 23:03 nD=105 cov=1.0 why=
sol BullWorld    gain=  104.1 skip     t5=07-05 04:59 nD=- cov=- why=window outside tape
sol BullWorld    gain=  101.7 monster  t5=07-05 05:13 nD=97 cov=0.07 why=
rob THROBBIN     gain=   99.3 monster  t5=07-10 20:26 nD=1 cov=- why=
rob CASHCOW      gain=   97.4 monster  t5=07-10 20:22 nD=32 cov=0.07 why=
sol COBRA        gain=   95.8 monster  t5=07-05 16:47 nD=100 cov=0.76 why=
sol SEMAN        gain=   94.7 monster  t5=07-05 14:12 nD=20 cov=0.27 why=
sol Bullmerica25 gain=   94.7 monster  t5=07-05 03:43 nD=100 cov=0.33 why=
sol ANSUM        gain=   92.9 monster  t5=07-04 01:13 nD=81 cov=0.45 why=
sol BullWorld    gain=   91.3 monster  t5=07-05 07:01 nD=100 cov=0.25 why=
sol Fro          gain=   90.4 monster  t5=07-06 13:41 nD=154 cov=0.56 why=
sol BLACKOUT     gain=   89.2 monster  t5=07-06 15:47 nD=100 cov=0.33 why=
sol Bullmerica25 gain=   89.2 monster  t5=07-05 12:11 nD=78 cov=0.06 why=
rob BILLY        gain=   88.9 monster  t5=07-10 17:19 nD=1 cov=- why=
rob ROBINHOOD    gain=   88.2 skip     t5=07-10 09:06 nD=- cov=- why=window outside tape
sol 公牛           gain=   87.4 monster  t5=07-05 18:54 nD=71 cov=0.08 why=
sol SEMAN        gain=   85.5 monster  t5=07-04 17:02 nD=0 cov=- why=
sol frog         gain=   85.4 monster  t5=07-05 14:18 nD=100 cov=0.08 why=
rob CASHCOW      gain=   84.2 skip     t5=07-10 20:47 nD=- cov=- why=window outside tape
rob BILLY        gain=   81.3 monster  t5=07-10 16:32 nD=7 cov=- why=
sol LojakPaul    gain=   80.9 monster  t5=07-03 17:55 nD=0 cov=- why=
sol ELIZABETH    gain=   80.5 monster  t5=07-05 20:16 nD=34 cov=0.99 why=
sol 0x           gain=   79.8 monster  t5=07-05 17:48 nD=99 cov=0.15 why=
sol COBRA        gain=   79.8 monster  t5=07-06 11:32 nD=0 cov=- why=
sol TMB          gain=   78.9 monster  t5=07-05 01:49 nD=0 cov=- why=
sol 公牛           gain=   78.2 monster  t5=07-05 17:52 nD=100 cov=0.08 why=
sol Bullmerica25 gain=   78.2 monster  t5=07-05 10:10 nD=0 cov=- why=
sol frog         gain=   77.2 monster  t5=07-05 20:50 nD=84 cov=0.75 why=
sol LojakPaul    gain=   75.8 monster  t5=07-03 22:09 nD=100 cov=0.21 why=
sol BullWorld    gain=   75.3 monster  t5=07-05 06:10 nD=98 cov=0.11 why=
rob THROBBIN     gain=   75.1 monster  t5=07-10 19:41 nD=6 cov=- why=
sol BLACKOUT     gain=   75.1 monster  t5=07-06 03:25 nD=0 cov=- why=
sol TOLY         gain=   74.8 monster  t5=07-05 21:22 nD=26 cov=0.09 why=
rob ROBINHOOD    gain=   74.2 skip     t5=07-10 09:03 nD=- cov=- why=window outside tape
rob RANGER       gain=   74.1 monster  t5=07-10 19:21 nD=22 cov=0.07 why=
rob wobin        gain=   73.8 skip     t5=07-10 09:10 nD=- cov=- why=window outside tape
sol TOLY         gain=   73.8 monster  t5=07-05 14:47 nD=85 cov=0.22 why=
sol SEMAN        gain=   72.9 monster  t5=07-06 07:44 nD=0 cov=- why=
rob ROBINHOOD    gain=   72.6 monster  t5=07-10 09:05 nD=263 cov=0.74 why=
sol 0x           gain=   72.2 monster  t5=07-06 15:51 nD=36 cov=0.43 why=
sol BullWorld    gain=   71.8 monster  t5=07-05 06:29 nD=76 cov=0.21 why=
sol ACM          gain=   71.8 monster  t5=07-05 10:37 nD=99 cov=0.07 why=
rob CASHBANK     gain=   71.6 monster  t5=07-10 19:55 nD=286 cov=0.15 why=
sol SEMAN        gain=   71.6 monster  t5=07-03 18:52 nD=0 cov=- why=
sol BLACKOUT     gain=   70.9 monster  t5=07-06 01:23 nD=85 cov=0.65 why=
