
fleet winners (net pnl >= $5): 18
  7wEHL4jTV77kqvenNMXSFuwAoaHf7dggUdcNZfvm3xdY     1   $     119  NEW
  1eveYYxZ2mDiAnmCh3fnAbJwjgErzokRA1b6UrRybSM      1   $     116  NEW
  DwJT5deM91nJQK2hugWqQhdMXav4yXaxeX8zsEJ8HQf9     1   $     116  NEW
  JApBGtbBtsNosE1Z5CiyUkTMhAxATqH1NAuJJenHUceR     1   $     101  NEW
  J3pyX4pApYh7oPBJJyFmBjPP9XzsGLewjcemELnsU2UN     1   $      98  NEW
  fGyU4QNAjZTHoouyzXXYWkRK4tDgcb893v3oDuVRYpj      1   $      97  NEW
  ADBDVjWF6bymcCSRTJVJ1hd7q1DZeiTwDhV8EWFqctMf     1   $      97  NEW
  CvSaXhksQhVUDf1LFUZXcSggT1d3V3UXvbcRuctzLif2     1   $      96  NEW
  J1sfMsbxGNXDPMUPXyGs5D6oCEe7fSYgdPMRyVzZuZUW     1   $      94  NEW
  dmuXAmcXJcdNuK264vsJQNBpVBPAx4JLujBzBMahJ6C      1   $      94  NEW
  CcMC5E8UZFW8sLoagxtJEFnxjZ4XwM2xGhpF1e79sj9M     1   $      93  NEW
  BgBzJKMQdYD7jSXDLyZLQe8T6pYFnvDoCZYdhrZskGkJ     1   $      92  NEW
  GoMVapTMvj3DXRs1kMHcndkPRXduH6u4xtan1hs6G3du     1   $      90  NEW
  SNrNNUu7pFUsqixLRX154in7q62HSET3kgZCRqQHhsS      1   $      84  NEW
  BucVKhpwsw3ndnSsS4p5ctLR3JfNPzb5atGv6eHUXvkT     1   $      83  NEW
  Fgej4SPuW282TdrQRfizRHAeRasNqCtAWZizL3jDqMdS     1   $      72  NEW
  FQX5En1pWmYpQqLFv2XkrgcbTEz9JsrdrNqbsdsFEFJm     1   $      72  NEW
  EPoKgNDhpevEtt6JHxGknZtLxoczzQfQCRHqqtChKbMB     1   $      72  NEW
  2Ju1JhcvpaPDL8r7n7P1hdXM8n8sQGgKsybpUv4S8sEg     1   $      72  NEW
  t5kkAnVmNE4sSB2KtrsqGKAyNBVyrerK1J5yNkuXH8S      1   $      71  NEW

Wrote 125 candidates to _our_pond_candidates.json

=== recurrence: 4 run(s) -> 6 wallets early across >=2 runs ===
  AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51  seen in 4 runs
  1eveYYxZ2mDiAnmCh3fnAbJwjgErzokRA1b6UrRybSM  seen in 3 runs
  gasTzr94Pmp4Gf8vknQnqxeYxdgwFjbgdJa4msYRpnB  seen in 2 runs
  iK7BmyUoFm2GDXfXSi61u94kJXSFyknFnGFQukbF2bb  seen in 2 runs
  2tgUbS9UMoQD6GkDZBiqKYCURnGrSb6ocYwRABrSJUvY  seen in 2 runs
  7iVCXQn4u6tiTEfNVqbWSEsRdEi69E9oYsSMiepuECwi  seen in 2 runs

NEXT: decode the top (wallet_decode) — these OVERLAP our pond, so unlike the GT catch they're ACTIONABLE. ALSO-GT-CATCH wallets (early in both ponds) decode FIRST.
